Location name,Amount spent (UYU)
Artigas Department,318
Canelones Department,1448
Cerro Largo Department,358
Colonia Department,600
Durazno Department,235
Flores Department,117
Florida Department,252
Lavalleja Department,435
Maldonado Department,870
Montevideo Department,5936
Paysandú Department,1455
Rivera Department,958
Rocha Department,230
Río Negro Department,238
Salto Department,724
San José Department,315
Soriano Department,280
Tacuarembó Department,354
Treinta y Tres Department,231
Unknown,≤100
