Location name,Amount spent (PKR)
Azad Kashmir,951
Balochistan,1352
Federally Administered Tribal Areas,254
Gilgit-Baltistan,474
Islamabad Capital Territory,2594
Khyber Pakhtunkhwa,8190
Punjab,44226
Sindh,11718
Unknown,≤100
