Page ID,Page name,Disclaimer,Amount spent (TWD),Number of ads in Library
238507146264909,國際特赦組織 台灣分會 Amnesty International Taiwan,國際特赦組織 台灣分會 Amnesty International Taiwan,29069,179
224451981016415,Mercedes-Benz Taiwan 台灣賓士,Mercedes-Benz Taiwan 台灣賓士,14242,8
693907914395620,良杯製所 Oolab,良杯製所 Oolab,14054,12
105556085524776,Twpca-台灣野良犬照護協會,Twpca-台灣野良犬照護協會,13935,5
241284961029,udn.com 聯合新聞網,udn.com 聯合新聞網,10766,8
148475335184300,Greenpeace 綠色和平 (台灣網站),Greenpeace 綠色和平 (台灣網站),10012,37
820612794778213,渣打銀行 Taiwan,渣打國際商業銀行,7338,6
286487218798,遠見雜誌,遠見雜誌,6538,7
106801464127093,目目非營利 MUVE NPO,目目非營利,5855,15
127628276929,天下雜誌,天下雜誌,5381,34
124473380937123,勵馨基金會 The Garden of Hope Foundation,勵馨基金會 The Garden of Hope Foundation,4572,5
219315794887869,聯合報,聯合報股份有限公司,4509,23
177161918975981,基督教芥菜種會,基督教芥菜種會,4310,30
113021403762187,法律協會-債務協商 更生 清算 -全台服務,傢宇 吳,3934,1
201785650801,亞洲大學(Asia University Taiwan),亞洲大學,3745,15
467933563234921,南門書局-網路圖書名店、也有實體店面，誠信可靠！,玉河 孫,3164,7
109462390640602,企業勞動法務管理顧問-勞動契約、勞資爭議、勞務健檢、教育訓練、法律事務、法律風險控管,芸廷 林,2711,48
1921016244677218,國際橋牌社 Island Nation,國際橋牌社 Island Nation,2541,3
248954465174600,TOYOTA Taiwan,TOYOTA Taiwan,2115,3
151776788178402,TechOrange 科技報橘,流線傳媒股份有限公司,1997,29
1423830381084156,中華民國財政部,中華民國財政部,1863,3
335544036485779,經濟部,經濟部,1680,5
100714476220256,永續金融先行者聯盟,永續金融先行者聯盟,1678,28
1537741526464370,桃園市議長邱奕勝,奕勝 邱,1597,5
101148628723206,台股投資學院,These ads ran without a disclaimer,1410,2
300320033502806,立法委員林為洲,為洲 林,1382,1
101355918337667,地天泰國際顧問有限公司,地天泰國際顧問有限公司,1378,4
108696572024879,民視佮你講（Bîn-sī kah lí kóng）,民視新聞,1335,5
171759036215066,創世紀不動產教育訓練中心,Micky  Wu,1328,30
103219708815173,蕭立妍,Li Yen Hsiao,1327,2
235679595900,民視新聞,民視新聞,1295,10
102475659251313,蘇婉真,蘇婉真,1282,5
390569611008641,願景工程基金會 Vision Project,願景工程基金會,1272,26
1680942122167263,Schneider Electric,品瑄 黃,1246,4
200795295882,謝金河 投資理財,耀賢黃,1219,1
1765791806973716,徐榛蔚,徐榛蔚,1206,2
285691048228640,新北市議員 劉哲彰,怡文 王,1204,4
1649523455281990,遠山呼喚,遠山呼喚,1150,3
436843193180529,Unipapa,Unipapa,1104,15
199044740213961,為台灣而教 Teach For Taiwan - TFT,Teach For Taiwan 為台灣而教,1068,2
117437684611270,桃園有議事・民進黨議會黨團,民主進步黨桃園市議會黨團,1037,1
1487218698275407,南門書局二店-網路特價書店-也有實體店面，價格親民，誠信可靠的老店。（師友文化）,玉河 孫,1011,3
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,1006,4
110699089014688,三立新聞,三立新聞,999,3
104624290080479,張育美,翊斌黃,987,4
101718182459153,天秤座戰士,Companionship Digital,900,4
105692292105892,黃士修,Shih-Hsiu Huang,899,4
1847777185521418,放言 Fount Media,放言科技傳媒股份有限公司,866,12
1855418728011324,鏡週刊,鏡週刊,820,2
211730475524462,大陸委員會,大陸委員會,795,4
610076519131640,Hi-Q守護全家人的健康,Hi-Q守護全家人的健康,767,5
1621835121361449,陳超明-阿明哥粉絲團,超明 陳,756,3
1436850183290438,One-Forty,One-Forty,741,3
739049559498402,元氣網,udn.com,716,2
1649151078446134,卓冠廷,冠廷卓,684,16
569626243213799,生鮮時書,生鮮時書,664,4
791870507594526,利樂創新界,利樂創新界,659,9
105723528801275,彰化縣政府青年發展處,彰化縣政府青年發展處,647,1
185265471538397,余宛如,余宛如,622,1
189061482332,張嘉郡,嘉郡張,610,6
449156429152075,永安國際理財中心,黃詩凭,591,1
164216566973089,Taiwan Raelian Movement 台灣雷爾運動,彭韋銘,578,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,563,2
1833187540297220,牛煦庭,Hsu-Ting Niu,548,1
104690535860982,楊永明,永明楊,538,2
104805437969925,JERA 台灣捷熱能源,"JERA Energy Taiwan Co., Ltd.",532,1
100626011452771,台泥 DAKA 和平微旅,台泥DAKA,519,2
375176372888863,桃園電子報,桃園電子報,514,2
132727540081371,立法委員賴惠員,立法委員賴惠員,508,1
211122988933967,吳思瑤,立法委員吳思瑤辦公室,489,1
122912938347467,歐陽霆,霆 歐陽,481,2
191690867518507,江啟臣,江啟臣,480,1
106894858726624,Save the Children International,These ads ran without a disclaimer,465,3
195094157238158,好立委 楊瓊瓔,宛儀林,458,3
1629474157289221,小牛頓,小牛頓科學教育有限公司,448,7
119282744754924,台灣人權促進會 Taiwan Association for Human Rights,台灣人權促進會 Taiwan Association for Human Rights,447,3
237483602952352,黃適卓,適卓 黃,447,5
505048462850808,楊朝偉,楊朝偉,439,3
112836884223660,澳花 漢本海洋驛站,澳花 漢本海洋驛站,426,1
108465872157182,亞細亞精準數據,亞細亞精準數據,419,1
493525064166133,天下雜誌video,天下雜誌,415,1
107163418997546,台灣民眾黨花蓮縣黨部-民眾挺民眾,台灣民眾黨花蓮縣黨部,405,1
349674993872,國立歷史博物館 National Museum of History,These ads ran without a disclaimer,401,1
282131515802876,新北民政保平安,采威國際資訊股份有限公司,370,7
113379913357972,財經資訊,These ads ran without a disclaimer,366,1
164483516927300,張景嵐,張景嵐,352,1
289158417927469,大衛綠色科技，大衛太陽能,大衛綠色科技，大衛太陽能,350,1
105957556179860,遠雄人壽Hold生活,遠雄人壽Hold生活,322,2
