Location name,Amount spent (JMD)
Clarendon Parish,≤100
Manchester Parish,≤100
Portland Parish,≤100
Saint Andrew Parish,515
Saint Catherine Parish,151
Saint James Parish,≤100
Saint Mary Parish,≤100
Trelawny Parish,≤100
