Location name,Amount spent (HUF)
Baranya County,168194
Borsod-Abaúj-Zemplén County,233139
Budapest,994306
Bács-Kiskun County,222886
Békés County,141194
Csongrád County,166658
Fejér County,178377
Győr-Moson-Sopron County,211722
Hajdú-Bihar County,192629
Heves County,125897
Jász-Nagykun-Szolnok County,144347
Komárom-Esztergom County,149792
Nógrád County,69874
Pest County,498207
Somogy County,122153
Szabolcs-Szatmár-Bereg County,200141
Tolna County,98251
Unknown,164
Vas County,113191
Veszprém County,136257
Zala County,118900
