Location name,Amount spent (EUR)
Alsace,625
Aquitaine,1328
Auvergne,413
Basse-Normandie,465
Bourgogne,497
Bretagne,1145
Centre,769
Champagne-Ardenne,440
Corse,152
Franche-Comté,360
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,627
Languedoc-Roussillon,1156
Limousin,233
Lorraine,816
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1043
New Caledonia,≤100
Nord-Pas-de-Calais,1389
Pays de la Loire,1151
Picardie,660
Poitou-Charentes,687
Provence-Alpes-Côte d'Azur,2459
Reunion Island,≤100
Rhône-Alpes,2105
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4476
