Location name,Amount spent (RON)
Alba County,301
Arad County,427
Argeș County,486
Bacău County,981
Bihor County,491
Bistrița-Năsăud County,284
Botoșani County,324
Brașov County,1330
Brăila County,254
Bucharest,2683
Buzău County,306
Caraș-Severin County,278
Cluj County,1588
Constanța County,645
Covasna County,210
Călărași County,173
Dolj County,682
Dâmbovița County,330
Galați County,466
Giurgiu County,147
Gorj County,402
Harghita County,380
Hunedoara County,375
Ialomița County,237
Iași County,1069
Ilfov County,346
Maramureș County,602
Mehedinți County,223
Mureș County,658
Neamț County,535
Olt County,265
Prahova County,530
Satu Mare County,295
Sibiu County,667
Suceava County,511
Sălaj County,245
Teleorman County,236
Timiș County,694
Tulcea County,229
Unknown,≤100
Vaslui County,276
Vrancea County,302
Vâlcea County,429
