Location name,Amount spent (IDR)
Aceh,726364
Bali,1443808
Bangka–Belitung Islands,420850
Banten,1681369
Bengkulu,580929
Central Java,9611270
Central Kalimantan,516824
Central Sulawesi,725374
East Java,11056236
East Kalimantan,1207105
East Nusa Tenggara,911667
Gorontalo,416104
Jakarta,8075777
Jambi,679671
Lampung,1402483
Maluku,510407
North Kalimantan,354444
North Maluku,476995
North Sulawesi,1148998
North Sumatra,2829428
Papua (province),574747
Riau,1802965
Riau Islands Province,794161
South Kalimantan,1103008
South Sulawesi,2717279
South Sumatra,1522969
Southeast Sulawesi,539777
Special Region of Yogyakarta,949003
Unknown,10067
West Java,8834693
West Kalimantan,1040952
West Nusa Tenggara,1157709
West Papua,374145
West Sulawesi,376099
West Sumatra,1096286
