Page ID,Page name,Disclaimer,Amount spent (PGK),Number of ads in Library
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
124109327256894,Dra. Ângela Pistão,These ads ran without a disclaimer,≤100,3
47815171686,Banyan Tree Hotels & Resorts,These ads ran without a disclaimer,≤100,1
918318338180165,CHINT GROUP,These ads ran without a disclaimer,≤100,1
102211979093712,EdHeroes,These ads ran without a disclaimer,≤100,1
102513299836949,United Nations Alliance of Civilizations (UNAOC),These ads ran without a disclaimer,≤100,1
19740928752,World Animal Protection,These ads ran without a disclaimer,≤100,3
111132794348779,That Happened,These ads ran without a disclaimer,≤100,1
343786409509707,The East Gate,These ads ran without a disclaimer,≤100,1
109706568131307,Smart Chill Cat,These ads ran without a disclaimer,≤100,1
