Location name,Amount spent (THB)
Amnat Charoen,138
Ang Thong,101
Ayutthaya,572
Bangkok,40214
Bueng Kan,201
Buriram,411
Chachoengsao,1649
Chai Nat,109
Chaiyaphum,418
Chanthaburi,2484
Chiang Mai,2414
Chiang Rai,1843
Chon Buri,4824
Chumphon,1260
Kalasin,311
Kamphaeng Phet,195
Kanchanaburi,487
Khon Kaen,2943
Krabi,359
Lampang,567
Lamphun,383
Loei,225
Lop Buri,239
Mae Hong Son,280
Maha Sarakham,446
Mukdahan,288
Nakhon Nayok,263
Nakhon Pathom,2584
Nakhon Phanom,2860
Nakhon Ratchasima,2373
Nakhon Sawan,320
Nakhon Si Thammarat,3330
Nan,240
Narathiwat,235
Nong Bua Lam Phu,196
Nong Khai,182
Nonthaburi,1712
Pathum Thani,3192
Pattani,1823
Phangnga,231
Phatthalung,846
Phayao,924
Phetchabun,262
Phetchaburi,466
Phichit,415
Phitsanulok,2080
Phrae,179
Phuket,1095
Prachin Buri,2847
Prachuap Khiri Khan,597
Ranong,388
Ratchaburi,653
Rayong,806
Roi Et,401
Sa Kaeo,4677
Sakon Nakhon,1163
Samut Prakan,2434
Samut Sakhon,2752
Samut Songkhram,1099
Saraburi,420
Satun,155
Sing Buri,≤100
Sisaket,430
Songkhla,1689
Sukhothai,437
Suphan Buri,372
Surat Thani,11029
Surin,400
Tak,177
Trang,1027
Trat,1381
Ubon Ratchathani,765
Udon Thani,1133
Unknown,≤100
Uthai Thani,≤100
Uttaradit,170
Yala Province,406
Yasothon,466
