Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,582
Basra Governorate,126
Dhi Qar Governorate,107
Diyala Governorate,≤100
Dohuk Governorate,163
Erbil Governorate,378
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,129
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,121
Nineveh Governorate,149
Saladin Governorate,≤100
Sulaymaniyah Governorate,330
Unknown,≤100
Wasit Governorate,≤100
