Location name,Amount spent (ISK)
Capital Region,43743
Eastern Region,2350
Northeastern Region,3973
Northwestern Region,875
Southern Peninsula,2474
Southern Region,4190
Unknown,≤100
Western Region,960
Westfjords,878
