Page ID,Page name,Disclaimer,Amount spent (ISK),Number of ads in Library
314036327204,VR,VR,24460,18
573559522797177,Flokkur fólksins,Flokkur Fólksins,5761,2
737169626371453,Stundin,Stundin,4148,3
584934658344027,Áslaug Arna Sigurbjörnsdóttir,Áslaug Arna Sigurbjörnsdóttir,3348,2
154893001218870,ADHD samtökin,ADHD samtökin,2745,6
106979180938014,Samstöðin,Samstöðin ehf,2222,4
276600879474149,Icelandic Wildlife Fund,The Icelandic Wildlife Fund,2029,2
184042545536602,Garðabæjarlistinn,Garðabæjarlistinn,780,1
153705438660098,Þórdís Lóa,Þórdís Þórhallsdóttir,776,1
202456013104343,Sjálfstæðisflokkurinn í Reykjanesbæ,Sjálfstæðisflokkurinn í Reykjanesbæ,703,1
192789944066997,Samtök ferðaþjónustunnar,Samtök ferðaþjónustunnar,493,8
131169181232,VOGUE JAPAN,These ads ran without a disclaimer,≤100,2
633246560165629,Fujifilm Global,These ads ran without a disclaimer,≤100,1
130369030334301,KidsRights,These ads ran without a disclaimer,≤100,1
114797118561022,Breda University of Applied Sciences,These ads ran without a disclaimer,≤100,1
1407800559480010,Hirmer Verlag,These ads ran without a disclaimer,≤100,1
474314055968372,fischer group,These ads ran without a disclaimer,≤100,1
