Location name,Amount spent (AUD)
Australian Capital Territory,1116
Jervis Bay Territory,≤100
New South Wales,20082
Northern Territory,572
Queensland,15772
South Australia,5655
Tasmania,1954
Unknown,≤100
Victoria,19338
Western Australia,7789
