Location name,Amount spent (PYG)
Alto Paraguay Department,17299
Alto Paraná Department,1933029
Amambay Department,172701
Asunción,1786142
Boquerón department,92503
Caaguazú Department,947551
Caazapá Department,178810
Canindeyú Department,258578
Central Department,6193525
Concepción Department (Paraguay),255287
Cordillera Department,744134
Guairá Department,315413
Itapúa Department,877269
Misiones Department,344192
Paraguarí Department,255778
Presidente Hayes Department,133204
San Pedro Department,271459
Unknown,805
Ñeembucú Department,218190
