Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,115
Baghdad Governorate,723
Basra Governorate,135
Dhi Qar Governorate,115
Diyala Governorate,≤100
Dohuk Governorate,213
Erbil Governorate,376
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,163
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,226
Saladin Governorate,≤100
Sulaymaniyah Governorate,332
Unknown,≤100
Wasit Governorate,≤100
