Location name,Amount spent (PYG)
Alto Paraguay Department,131157
Alto Paraná Department,13826714
Amambay Department,1391498
Asunción,13844099
Boquerón department,535351
Caaguazú Department,4921995
Caazapá Department,1110336
Canindeyú Department,1798037
Central Department,27798949
Concepción Department (Paraguay),1533694
Cordillera Department,2624682
Guairá Department,1713741
Itapúa Department,5772407
Misiones Department,1270700
Paraguarí Department,1456918
Presidente Hayes Department,1109936
San Pedro Department,2308590
Unknown,2173
Ñeembucú Department,924238
