Location name,Amount spent (RON)
Alba County,333
Arad County,444
Argeș County,799
Bacău County,510
Bihor County,514
Bistrița-Năsăud County,362
Botoșani County,353
Brașov County,487
Brăila County,284
Bucharest,2260
Buzău County,389
Caraș-Severin County,242
Cluj County,1444
Constanța County,683
Covasna County,197
Călărași County,177
Dolj County,571
Dâmbovița County,542
Galați County,547
Giurgiu County,165
Gorj County,379
Harghita County,327
Hunedoara County,383
Ialomița County,163
Iași County,876
Ilfov County,315
Maramureș County,544
Mehedinți County,387
Mureș County,573
Neamț County,515
Olt County,284
Prahova County,655
Satu Mare County,340
Sibiu County,364
Suceava County,580
Sălaj County,395
Teleorman County,245
Timiș County,613
Tulcea County,183
Unknown,≤100
Vaslui County,348
Vrancea County,423
Vâlcea County,313
