Location name,Amount spent (JMD)
Clarendon Parish,155
Hanover Parish,≤100
Kingston Parish,≤100
Manchester Parish,194
Portland Parish,≤100
Saint Andrew Parish,1460
Saint Ann Parish,204
Saint Catherine Parish,555
Saint Elizabeth Parish,≤100
Saint James Parish,280
Saint Mary Parish,≤100
Saint Thomas Parish,≤100
Trelawny Parish,≤100
Unknown,≤100
Westmoreland Parish,155
