Location name,Amount spent (DKK)
Capital Region of Denmark,46411
Central Denmark Region,28366
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,13844
Region of Southern Denmark,27633
Unknown,≤100
Zealand Region,15441
