Location name,Amount spent (GTQ)
Alta Verapaz Department,1369
Baja Verapaz Department,449
Chimaltenango Department,973
Chiquimula Department,688
El Progreso Department,320
Escuintla Department,2764
Guatemala Department,21600
Huehuetenango Department,2125
Izabal Department,1283
Jalapa Department,476
Jutiapa Department,735
Petén Department,740
Quetzaltenango Department,2485
Quiché Department,1241
Retalhuleu Department,633
Sacatepéquez Department,828
San Marcos Department,3746
Santa Rosa Department,558
Sololá Department,692
Suchitepéquez Department,877
Totonicapán Department,681
Unknown,≤100
Zacapa Department,458
