Location name,Amount spent (MXN)
Aguascalientes,12104
Baja California,50363
Baja California Sur,10124
Campeche,25028
Chiapas,52308
Chihuahua,43452
Coahuila de Zaragoza,30371
Colima,13563
Distrito Federal,185299
Durango,9460
Guanajuato,59518
Guerrero,15010
Hidalgo,13176
Jalisco,111211
Michoacán de Ocampo,35228
Morelos,50269
Nayarit,9042
Nuevo León,322552
Oaxaca,28781
Puebla,73332
Querétaro Arteaga,29301
Quintana Roo,77187
San Luis Potosi,22687
Sinaloa,22517
Sonora,39252
State of Mexico,89135
Tabasco,11129
Tamaulipas,30100
Tlaxcala,7100
Unknown,≤100
Veracruz,48548
Yucatán,36684
Zacatecas,9768
