Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,287
Apurímac Region,≤100
Arequipa Region,339
Ayacucho Region,164
Cajamarca Region,234
Callao,142
Cusco Region,338
Huancavelica Region,≤100
Huánuco Region,164
Ica Region,252
Junín Region,263
La Libertad Region,404
Lambayeque Region,266
Lima Region,2635
Loreto Region,354
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,486
Puno Region,283
San Martín Region,224
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,123
Unknown,≤100
