Location name,Amount spent (PLN)
Greater Poland Voivodeship,4978
Kuyavian-Pomeranian Voivodeship,2716
Lesser Poland Voivodeship,4639
Lower Silesian Voivodeship,3771
Lublin Voivodeship,2848
Lubusz Voivodeship,872
Masovian Voivodeship,9029
Opole Voivodeship,949
Podkarpackie Voivodeship,2715
Podlaskie Voivodeship,1292
Pomeranian Voivodeship,2998
Silesian Voivodeship,4426
Unknown,353
Warmian-Masurian Voivodeship,1130
West Pomeranian Voivodeship,1939
Łódź Voivodeship,2594
Świętokrzyskie Voivodeship,1607
