Location name,Amount spent (PKR)
Azad Kashmir,1431
Balochistan,3639
Federally Administered Tribal Areas,451
Gilgit-Baltistan,967
Islamabad Capital Territory,12475
Khyber Pakhtunkhwa,13753
Punjab,50188
Sindh,26198
Unknown,≤100
