Location name,Amount spent (HUF)
Baranya County,123186
Borsod-Abaúj-Zemplén County,178976
Budapest,752235
Bács-Kiskun County,188289
Békés County,119389
Csongrád County,253318
Fejér County,141404
Győr-Moson-Sopron County,155204
Hajdú-Bihar County,149047
Heves County,111863
Jász-Nagykun-Szolnok County,111461
Komárom-Esztergom County,91449
Nógrád County,73670
Pest County,348533
Somogy County,92456
Szabolcs-Szatmár-Bereg County,151079
Tolna County,79570
Unknown,≤100
Vas County,80507
Veszprém County,107464
Zala County,110775
