Location name,Amount spent (RON)
Alba County,1114
Arad County,1607
Argeș County,1649
Bacău County,1701
Bihor County,1759
Bistrița-Năsăud County,908
Botoșani County,1159
Brașov County,2403
Brăila County,893
Bucharest,9341
Buzău County,1313
Caraș-Severin County,807
Cluj County,3387
Constanța County,2690
Covasna County,713
Călărași County,825
Dolj County,1884
Dâmbovița County,1327
Galați County,1683
Giurgiu County,504
Gorj County,1016
Harghita County,999
Hunedoara County,1327
Ialomița County,625
Iași County,3692
Ilfov County,1576
Maramureș County,1441
Mehedinți County,618
Mureș County,1767
Neamț County,1550
Olt County,745
Prahova County,2466
Satu Mare County,926
Sibiu County,1515
Suceava County,2420
Sălaj County,632
Teleorman County,634
Timiș County,3351
Tulcea County,652
Unknown,≤100
Vaslui County,863
Vrancea County,1404
Vâlcea County,988
