Location name,Amount spent (TRY)
Adana Province,1636
Adıyaman Province,220
Afyonkarahisar Province,323
Aksaray Province,148
Amasya Province,113
Ankara Province,2563
Antalya Province,2769
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,416
Ağrı Province,≤100
Balıkesir Province,617
Bartın Province,≤100
Batman Province,218
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,135
Burdur Province,106
Bursa Province,1443
Denizli Province,436
Diyarbakır Province,479
Düzce Province,205
Edirne Province,346
Elazığ Province,176
Erzincan Province,≤100
Erzurum Province,177
Eskişehir Province,1030
Gaziantep Province,923
Giresun Province,189
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,1085
Isparta Province,185
Istanbul Province,7745
Iğdır Province,≤100
Kahramanmaraş Province,492
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,104
Kayseri Province,757
Kilis Province,≤100
Kocaeli Province,511
Konya Province,962
Kütahya Province,161
Kırklareli Province,140
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,305
Manisa Province,592
Mardin Province,247
Mersin Province,913
Muğla Province,451
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,123
Ordu Province,334
Osmaniye Province,259
Rize Province,124
Sakarya Province,195
Samsun Province,584
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,146
Tekirdağ Province,482
Tokat Province,166
Trabzon Province,312
Tunceli Province,≤100
Unknown,≤100
Uşak Province,161
Van Province,196
Yalova Province,≤100
Yozgat Province,125
Zonguldak Province,219
Çanakkale Province,245
Çankırı Province,≤100
Çorum Province,222
İzmir Province,2349
Şanlıurfa Province,480
Şırnak Province,107
