Location name,Amount spent (RON)
Alba County,1293
Arad County,1140
Argeș County,1574
Bacău County,1542
Bihor County,1406
Bistrița-Năsăud County,671
Botoșani County,964
Brașov County,1407
Brăila County,689
Bucharest,5937
Buzău County,987
Caraș-Severin County,638
Cluj County,3386
Constanța County,1711
Covasna County,574
Călărași County,546
Dolj County,1456
Dâmbovița County,985
Galați County,1302
Giurgiu County,462
Gorj County,1157
Harghita County,960
Hunedoara County,1267
Ialomița County,482
Iași County,2357
Ilfov County,1004
Maramureș County,1154
Mehedinți County,974
Mureș County,1609
Neamț County,1348
Olt County,754
Prahova County,1985
Satu Mare County,1287
Sibiu County,1076
Suceava County,1659
Sălaj County,571
Teleorman County,581
Timiș County,1937
Tulcea County,409
Unknown,≤100
Vaslui County,766
Vrancea County,803
Vâlcea County,810
