Location name,Amount spent (COP)
Amazonas,347
Antioquia,740730
Arauca,2520
Atlantico,183201
Bolivar,32323
Boyaca,10174
Caldas,11860
Caqueta,65394
Casanare,3478
Cauca,21681
Cesar,27212
Choco,9036
Cordoba,13221
Cundinamarca,117101
Distrito Especial,1361206
Guainia,496
Guaviare,449
Huila,29763
La Guajira,18873
Magdalena,48245
Meta,33945
Narino,33408
Norte de Santander,10682
Putumayo,14502
Quindio,14373
Risaralda,116212
San Andres y Providencia,504
Santander,56272
Sucre,8535
Tolima,50637
Unknown,≤100
Valle del Cauca,282935
Vaupes,221
Vichada,210
