Location name,Amount spent (USD)
Absheron District,≤100
Agdam District,≤100
Agdash District,≤100
Aghjabadi District,≤100
Agstafa District,≤100
Agsu District,≤100
Astara District,≤100
Baku,126
Balakan District,≤100
Barda District,≤100
Beylagan District,≤100
Bilasuvar District,≤100
Dashkasan District,≤100
Fuzuli District,≤100
Gadabay District,≤100
Ganja,≤100
Goranboy District,≤100
Goychay District,≤100
Goygol District,≤100
Hajigabul District,≤100
Imishli District,≤100
Ismailli District,≤100
Jalilabad District,≤100
Kalbajar District,≤100
Khachmaz District,≤100
Khizi District,≤100
Khojavend District,≤100
Kurdamir District,≤100
Lankaran District,≤100
Lerik District,≤100
Masally District,≤100
Mingachevir,≤100
Naftalan,≤100
Nakhchivan Autonomous Republic,≤100
Neftchala District,≤100
Oghuz District,≤100
Qabala District,≤100
Qakh District,≤100
Qazakh District,≤100
Quba Rayon,≤100
Qusar District,≤100
Saatly District,≤100
Sabirabad District,≤100
Salyan District,≤100
Shaki District,≤100
Shamakhi District,≤100
Shamkir District,≤100
Shirvan (city),≤100
Shusha,≤100
Shusha District,≤100
Stepanakert,≤100
Sumqayit,≤100
Tartar District,≤100
Tovuz District,≤100
Ujar District,≤100
Yardymli District,≤100
Yevlakh District,≤100
Zangilan District,≤100
Zaqatala District,≤100
Zardab District,≤100
