Location name,Amount spent (IDR)
Aceh,627480
Bali,1281454
Bangka–Belitung Islands,298639
Banten,1529709
Bengkulu,425705
Central Java,5525943
Central Kalimantan,516673
Central Sulawesi,542673
East Java,4459260
East Kalimantan,1082678
East Nusa Tenggara,1362601
Gorontalo,697445
Jakarta,2882966
Jambi,664632
Lampung,1146613
Maluku,296906
North Kalimantan,249444
North Maluku,289338
North Sulawesi,2066601
North Sumatra,2891065
Papua (province),516256
Riau,2261124
Riau Islands Province,517181
South Kalimantan,600759
South Sulawesi,1885118
South Sumatra,1712365
Southeast Sulawesi,486958
Special Region of Yogyakarta,889567
Unknown,6061
West Java,7070377
West Kalimantan,5346369
West Nusa Tenggara,783366
West Papua,249053
West Sulawesi,286219
West Sumatra,1027090
