Location name,Amount spent (PLN)
Greater Poland Voivodeship,4964
Kuyavian-Pomeranian Voivodeship,2673
Lesser Poland Voivodeship,4860
Lower Silesian Voivodeship,3957
Lublin Voivodeship,1999
Lubusz Voivodeship,1087
Masovian Voivodeship,9083
Opole Voivodeship,1145
Podkarpackie Voivodeship,1934
Podlaskie Voivodeship,958
Pomeranian Voivodeship,3329
Silesian Voivodeship,5371
Unknown,≤100
Warmian-Masurian Voivodeship,2239
West Pomeranian Voivodeship,1953
Łódź Voivodeship,2904
Świętokrzyskie Voivodeship,1154
