Location name,Amount spent (CAD)
Alberta,67371
British Columbia,9369
Manitoba,4764
New Brunswick,929
Newfoundland and Labrador,925
Northwest Territories,≤100
Nova Scotia,1588
Nunavut,≤100
Ontario,25682
Prince Edward Island,289
Quebec,14237
Saskatchewan,2782
Unknown,≤100
Yukon,102
