Location name,Amount spent (PYG)
Alto Paraguay Department,1511
Alto Paraná Department,96705
Amambay Department,2207
Asunción,128138
Boquerón department,1647
Caaguazú Department,35685
Caazapá Department,2579
Canindeyú Department,6188
Central Department,412291
Concepción Department (Paraguay),7496
Cordillera Department,63213
Guairá Department,5785
Itapúa Department,34166
Misiones Department,26462
Paraguarí Department,7084
Presidente Hayes Department,10169
San Pedro Department,5114
Unknown,≤100
Ñeembucú Department,21865
