Location name,Amount spent (RON)
Alba County,467
Arad County,636
Argeș County,1492
Bacău County,691
Bihor County,527
Bistrița-Năsăud County,285
Botoșani County,406
Brașov County,1123
Brăila County,381
Bucharest,3863
Buzău County,441
Caraș-Severin County,240
Cluj County,719
Constanța County,712
Covasna County,212
Călărași County,313
Dolj County,1402
Dâmbovița County,1294
Galați County,597
Giurgiu County,150
Gorj County,525
Harghita County,380
Hunedoara County,370
Ialomița County,528
Iași County,984
Ilfov County,452
Maramureș County,680
Mehedinți County,232
Mureș County,639
Neamț County,902
Olt County,779
Prahova County,1024
Satu Mare County,467
Sibiu County,473
Suceava County,896
Sălaj County,207
Teleorman County,234
Timiș County,782
Tulcea County,167
Unknown,≤100
Vaslui County,288
Vrancea County,572
Vâlcea County,922
