Location name,Amount spent (NOK)
Akershus,3544
Aust-Agder,487
Buskerud,1188
Finnmark,323
Hedmark,754
Hordaland,3068
Møre og Romsdal,1122
Nord-Trøndelag,492
Nordland,1073
Oppland,813
Oslo,7040
Rogaland,2352
Sogn og Fjordane,400
Svalbard and Jan Mayen,≤100
Sør-Trøndelag,1477
Telemark,967
Troms,832
Unknown,≤100
Vest-Agder,1137
Vestfold,1979
Østfold,1529
