Location name,Amount spent (USD)
Ad Dakhiliyah Governorate,≤100
Ad Dhahirah Governorate,≤100
Al Batinah North Governorate,193
Al Buraimi Governorate,≤100
Al Wusta Governorate,≤100
Ash Sharqiyah North Governorate,≤100
Ash Sharqiyah South Governorate,≤100
Dhofar Governorate,≤100
Musandam Governorate,≤100
Muscat Governorate,342
Unknown,≤100
