Location name,Amount spent (EUR)
Alsace,614
Aquitaine,1043
Auvergne,302
Basse-Normandie,359
Bourgogne,385
Bretagne,835
Centre,681
Champagne-Ardenne,315
Corse,116
Franche-Comté,259
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,589
Languedoc-Roussillon,954
Limousin,183
Lorraine,758
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,814
New Caledonia,≤100
Nord-Pas-de-Calais,1066
Pays de la Loire,998
Picardie,488
Poitou-Charentes,460
Provence-Alpes-Côte d'Azur,1711
Reunion Island,≤100
Rhône-Alpes,1666
Saint Pierre and Miquelon,≤100
Saint-Martin,≤100
Unknown,≤100
Île-de-France,3270
