Location name,Amount spent (TRY)
Adana Province,501
Adıyaman Province,≤100
Afyonkarahisar Province,149
Aksaray Province,173
Amasya Province,≤100
Ankara Province,3236
Antalya Province,1130
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,355
Ağrı Province,≤100
Balıkesir Province,526
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,1912
Denizli Province,253
Diyarbakır Province,166
Düzce Province,191
Edirne Province,183
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,111
Eskişehir Province,269
Gaziantep Province,323
Giresun Province,138
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,417
Isparta Province,123
Istanbul Province,17457
Iğdır Province,≤100
Kahramanmaraş Province,191
Karabük Province,2151
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,1978
Kayseri Province,269
Kilis Province,≤100
Kocaeli Province,895
Konya Province,453
Kütahya Province,124
Kırklareli Province,148
Kırıkkale Province,149
Kırşehir Province,≤100
Malatya Province,284
Manisa Province,340
Mardin Province,115
Mersin Province,385
Muğla Province,513
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,189
Osmaniye Province,≤100
Rize Province,≤100
Sakarya Province,129
Samsun Province,599
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,103
Tekirdağ Province,315
Tokat Province,≤100
Trabzon Province,180
Tunceli Province,≤100
Unknown,≤100
Uşak Province,≤100
Van Province,≤100
Yalova Province,≤100
Yozgat Province,124
Zonguldak Province,126
Çanakkale Province,808
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,1688
Şanlıurfa Province,214
Şırnak Province,≤100
