Location name,Amount spent (HUF)
Baranya County,89164
Borsod-Abaúj-Zemplén County,138545
Budapest,587427
Bács-Kiskun County,113450
Békés County,76692
Csongrád County,119246
Fejér County,109797
Győr-Moson-Sopron County,103935
Hajdú-Bihar County,140533
Heves County,76744
Jász-Nagykun-Szolnok County,80492
Komárom-Esztergom County,67612
Nógrád County,38736
Pest County,241571
Somogy County,65521
Szabolcs-Szatmár-Bereg County,113617
Tolna County,51244
Unknown,≤100
Vas County,54789
Veszprém County,74196
Zala County,61520
