Location name,Amount spent (NIO)
Chinandega Department,≤100
Chontales Department,≤100
Granada Department,≤100
León Department,≤100
Managua Department,≤100
Nueva Segovia Department,≤100
Región Autónoma del Atlántico Norte,≤100
Rivas Department,≤100
Río San Juan Department,≤100
