Page ID,Page name,Disclaimer,Amount spent (JPY),Number of ads in Library
197770137236410,日本維新の会,尾田 一郎,236743,10
475681929154100,国連UNHCR協会,国連UNHCR協会,163066,27
1904070096535109,スマート選挙,株式会社センキョ,38792,8
684161888345926,西日本新聞me,西日本新聞me,37393,19
298060150283457,大分県日出町,帆足吉美,30238,38
633030123480159,グッドライフアワード,グッドライフアワード事務局,29179,2
109182734711450,厚生労働大臣表彰　輝くテレワーク賞,一般社団法人日本テレワーク協会  「テレワーク推進企業等厚生労働大臣表彰」事務局,25995,8
102715015957377,東国原英夫,東国原英夫事務所,24107,1
239558679475625,株式会社トマス技術研究所,Kenji Fukutomi,21583,15
208661552479830,日本財団,Shigeru Fujita,16281,7
518403981967782,上島嘉郎のライズ・アップ・ジャパン,Rieko Mazda,10227,9
105561745477856,みやざき勇（宮崎 勇）,みやざき勇事務所,7538,7
573316363175691,KiteRa,These ads ran without a disclaimer,7177,1
186691125128189,Air Liquide,These ads ran without a disclaimer,7151,2
108619874239832,Kaigo Pride,一般社団法人KAiGO PRiDE,5534,1
298060150283457,大分県日出町,大分県日出町,4878,6
486499008189961,Inspire（インスパイア）：地方創生イノベータープラットフォーム,一般社団法人INSPIRE,4582,1
101094292847537,＆Co.,&Co.,4359,1
102468941548369,宮城県民共済,宮城県民共済,3851,3
544702409046206,手相の見方大事典テソペディア,株式会社Qu Creation,2949,1
110855691794268,大山かずのり（桜川市）,大山かずのり（桜川市）,2926,1
106343184534693,ソーシャル政策メディア Publingual,株式会社Publink,2908,3
103921962501743,こまざき美紀,こまざき美紀,2330,2
151214938794853,ミエセン,ジャッグジャパン株式会社,1449,9
104533215755145,ZOE_Japan,ZOE Japan,1156,1
109478115259777,秋元はやと,秋元はやと,1000,1
1671853216366712,東こう史ひろ,東猴史紘,892,1
881025135256351,Japan In-depth,Japan In-depth,835,5
100536505002621,日本維新の会　長野県総支部,Daisuke Tezuka,663,1
603020383522366,Smgネットワーク,SMGネットワーク（中国における臓器移植を考える会）,657,1
246498569575112,行政書士 鎌倉国際法務事務所 Kamakura International Legal Service,行政書士鎌倉国際法務事務所,647,1
168869767018564,白石洋一よういち,Yoichi Shiraishi,628,1
103169922211922,おだかる,These ads ran without a disclaimer,620,1
1621936421357167,藤崎町観光情報サイト ふじさんぽ,株式会社コンシス,587,1
49275915266,MSI Reproductive Choices,These ads ran without a disclaimer,535,6
115247946520017,電波オークションを実現する会,Mitsumasa Kato,513,1
551303845317383,高橋元気（中央区議会議員）,Genki Takahashi,487,1
2125354127714938,かとう裕太（香取市議会議員）,かとう裕太後援会,478,1
123217824515511,牛見 航  /  山口県防府市議会議員,Wataru Ushimi,439,1
1407941346087379,自民党遊説局,自民党遊説局,408,1
1672330153015605,透明アクリル業者票,アドアチーブ株式会社,383,1
158714780827513,UNFPA,These ads ran without a disclaimer,366,8
114564043562052,SDGs Online FESTA,Akiyama Kohjiro,333,1
102345105947737,選挙しか勝たん！どぶ板を業者に任せる楽ちん候補予定者のための「ポスターPR党」by 選挙ドットウィン「03-6915-2310」,僕俺株式会社,323,1
192399998157650,市来ハヤト（大阪維新の会）,市來隼後援会,302,1
104367261609980,飯牟礼克年（いいむれ かつとし）後援会,Katsutoshi Iimure,290,1
1652747391657865,山浦英太（横浜市会議員　戸塚区）,Yamaura  Eita,198,1
223324342968906,せんだい自民党,田村勝,194,1
106155238869053,かんたん！webデザイン講座,These ads ran without a disclaimer,174,1
163897240844320,高木信明＠葛飾区議会危機管理対策委員長,高木 信明,172,1
208371683037269,NBCU Catalyst,These ads ran without a disclaimer,167,3
104015742220554,Mimic,These ads ran without a disclaimer,139,1
2306976372908913,小伽羅生活日記,These ads ran without a disclaimer,≤100,1
288301635169706,たかはま なおき　文京区議会議員,高浜 直樹,≤100,1
464822496891330,いい投票／e投票,株式会社グラント,≤100,1
243143172757375,情報ドットコム（K.Oshima）,大島 和彦,≤100,1
109093708214437,サッカーを１０倍楽しむ法（fb Ver.）,These ads ran without a disclaimer,≤100,1
379486108824076,BGI Genomics,These ads ran without a disclaimer,≤100,1
102956825958533,maoo_511,These ads ran without a disclaimer,≤100,1
217519028785017,Nature Research Custom Media,These ads ran without a disclaimer,≤100,2
110095967929912,Best Of The Best On Kickstarter,These ads ran without a disclaimer,≤100,2
226406520645,YSL Beauty,These ads ran without a disclaimer,≤100,1
1182128755219778,Japan Forward,These ads ran without a disclaimer,≤100,1
132579906756944,United Nations ESCAP,These ads ran without a disclaimer,≤100,1
102415047928145,Shanghai Electric,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,1
100661818730059,Judgement Day: Decide It,These ads ran without a disclaimer,≤100,1
