Location name,Amount spent (AUD)
Australian Capital Territory,1023
Jervis Bay Territory,≤100
New South Wales,14173
Northern Territory,465
Queensland,14950
South Australia,4366
Tasmania,2525
Unknown,≤100
Victoria,13585
Western Australia,7911
