Location name,Amount spent (VND)
An Giang Province,109470
Bà Rịa–Vũng Tàu Province,166483
Bình Dương Province,205714
Bình Phước Province,141698
Bình Thuận Province,110939
Bình Định Province,244592
Bạc Liêu Province,46191
Bắc Giang Province,289563
Bắc Kạn Province,70699
Bắc Ninh Province,228455
Bến Tre Province,63580
Cao Bằng Province,86090
Cà Mau Province,79921
Cần Thơ,122735
Da Nang,216337
Gia Lai Province,166105
Haiphong,280515
Ho Chi Minh City,1980613
Hà Giang Province,128886
Hà Nam Province,139072
Hà Tĩnh Province,249667
Hòa Bình Province,129897
Hưng Yên Province,175933
Hải Dương Province,322757
Hậu Giang Province,25691
Khánh Hòa Province,123176
Kiên Giang Province,115119
Kon Tum Province,62094
Lai Châu Province,26423
Long An Province,107018
Lào Cai Province,122213
Lâm Đồng Province,145565
Lạng Sơn Province,167952
Nam Định Province,209688
Nghệ An Province,538821
Ninh Bình Province,114466
Ninh Thuận Province,86967
Phú Thọ Province,344736
Phú Yên Province,93389
Quảng Bình Province,137314
Quảng Nam Province,194337
Quảng Ngãi Province,158765
Quảng Ninh Province,159839
Quảng Trị Province,99003
Sóc Trăng Province,59965
Sơn La Province,163087
Thanh Hóa Province,1128672
Thái Bình Province,240036
Thái Nguyên Province,217321
Thừa Thiên–Huế Province,259045
Tiền Giang Province,92222
Trà Vinh Province,52725
Tuyên Quang Province,318565
Tây Ninh Province,78092
Unknown,201
Vĩnh Long Province,48356
Vĩnh Phúc Province,179439
Yên Bái Province,120364
Điện Biên Province,113752
Đắk Lắk Province,254804
Đắk Nông Province,78166
Đồng Nai Province,256447
Đồng Tháp Province,70136
