Location name,Amount spent (UYU)
Artigas Department,151
Canelones Department,290
Cerro Largo Department,141
Colonia Department,177
Durazno Department,101
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,186
Montevideo Department,1265
Paysandú Department,834
Rivera Department,418
Rocha Department,104
Río Negro Department,≤100
Salto Department,181
San José Department,≤100
Soriano Department,135
Tacuarembó Department,124
Treinta y Tres Department,≤100
Unknown,≤100
