Location name,Amount spent (HUF)
Baranya County,58165
Borsod-Abaúj-Zemplén County,72588
Budapest,347575
Bács-Kiskun County,67452
Békés County,42789
Csongrád County,65114
Fejér County,52279
Győr-Moson-Sopron County,57464
Hajdú-Bihar County,70999
Heves County,42322
Jász-Nagykun-Szolnok County,47049
Komárom-Esztergom County,39955
Nógrád County,23234
Pest County,129302
Somogy County,41863
Szabolcs-Szatmár-Bereg County,53793
Tolna County,29394
Unknown,≤100
Vas County,36063
Veszprém County,42690
Zala County,36867
