Location name,Amount spent (THB)
Amnat Charoen,106
Ang Thong,102
Ayutthaya,432
Bangkok,11132
Bueng Kan,125
Buriram,440
Chachoengsao,360
Chai Nat,109
Chaiyaphum,349
Chanthaburi,259
Chiang Mai,1877
Chiang Rai,535
Chon Buri,1252
Chumphon,292
Kalasin,256
Kamphaeng Phet,747
Kanchanaburi,372
Khon Kaen,828
Krabi,258
Lampang,347
Lamphun,178
Loei,232
Lop Buri,288
Mae Hong Son,≤100
Maha Sarakham,305
Mukdahan,134
Nakhon Nayok,101
Nakhon Pathom,444
Nakhon Phanom,210
Nakhon Ratchasima,1174
Nakhon Sawan,402
Nakhon Si Thammarat,723
Nan,168
Narathiwat,267
Nong Bua Lam Phu,135
Nong Khai,189
Nonthaburi,940
Pathum Thani,629
Pattani,442
Phangnga,176
Phatthalung,277
Phayao,171
Phetchabun,290
Phetchaburi,241
Phichit,243
Phitsanulok,1449
Phrae,184
Phuket,453
Prachin Buri,222
Prachuap Khiri Khan,254
Ranong,127
Ratchaburi,428
Rayong,623
Roi Et,360
Sa Kaeo,173
Sakon Nakhon,601
Samut Prakan,421
Samut Sakhon,398
Samut Songkhram,≤100
Saraburi,362
Satun,213
Sing Buri,≤100
Sisaket,377
Songkhla,2067
Sukhothai,355
Suphan Buri,300
Surat Thani,851
Surin,368
Tak,287
Trang,296
Trat,162
Ubon Ratchathani,730
Udon Thani,606
Unknown,≤100
Uthai Thani,114
Uttaradit,238
Yala Province,353
Yasothon,173
