Location name,Amount spent (PLN)
Greater Poland Voivodeship,3723
Kuyavian-Pomeranian Voivodeship,1985
Lesser Poland Voivodeship,5181
Lower Silesian Voivodeship,3345
Lublin Voivodeship,1668
Lubusz Voivodeship,1721
Masovian Voivodeship,5994
Opole Voivodeship,930
Podkarpackie Voivodeship,1613
Podlaskie Voivodeship,858
Pomeranian Voivodeship,2704
Silesian Voivodeship,4785
Unknown,≤100
Warmian-Masurian Voivodeship,1319
West Pomeranian Voivodeship,1692
Łódź Voivodeship,2204
Świętokrzyskie Voivodeship,1218
