Location name,Amount spent (COP)
Amazonas,1141
Antioquia,7165274
Arauca,69231
Atlantico,1096649
Bolivar,178814
Boyaca,73720
Caldas,244632
Caqueta,41752
Casanare,33504
Cauca,222562
Cesar,47208
Choco,83530
Cordoba,176253
Cundinamarca,346854
Distrito Especial,1270771
Guainia,577
Guaviare,2460
Huila,253578
La Guajira,16698
Magdalena,72570
Meta,583657
Narino,50378
Norte de Santander,252697
Putumayo,94767
Quindio,86406
Risaralda,514112
San Andres y Providencia,2365
Santander,235093
Sucre,53043
Tolima,267965
Unknown,228
Valle del Cauca,2433665
Vaupes,224
Vichada,428
