Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,328
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,137
Dohuk Governorate,278
Erbil Governorate,537
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,652
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,132
Saladin Governorate,≤100
Sulaymaniyah Governorate,1117
Unknown,≤100
Wasit Governorate,≤100
