Location name,Amount spent (CZK)
Central Bohemian Region,16243
Hradec Králové Region,6898
Karlovy Vary Region,4409
Liberec Region,5822
Moravian-Silesian Region,15120
Olomouc Region,8002
Pardubice Region,6286
Plzeň Region,7985
Prague,41352
South Bohemian Region,7819
South Moravian Region,20075
Unknown,≤100
Vysočina Region,6314
Zlín Region,6971
Ústí nad Labem Region,11202
