Location name,Amount spent (EUR)
Alsace,568
Aquitaine,1039
Auvergne,364
Basse-Normandie,363
Bourgogne,404
Bretagne,923
Centre,654
Champagne-Ardenne,408
Corse,123
Franche-Comté,263
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,508
Languedoc-Roussillon,1104
Limousin,197
Lorraine,739
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,811
New Caledonia,≤100
Nord-Pas-de-Calais,1050
Pays de la Loire,919
Picardie,501
Poitou-Charentes,482
Provence-Alpes-Côte d'Azur,2465
Reunion Island,≤100
Rhône-Alpes,2003
Saint-Martin,≤100
Unknown,≤100
Île-de-France,4473
