Location name,Amount spent (GTQ)
Alta Verapaz Department,289
Baja Verapaz Department,≤100
Chimaltenango Department,150
Chiquimula Department,137
El Progreso Department,≤100
Escuintla Department,250
Guatemala Department,8272
Huehuetenango Department,303
Izabal Department,248
Jalapa Department,≤100
Jutiapa Department,180
Petén Department,137
Quetzaltenango Department,397
Quiché Department,204
Retalhuleu Department,≤100
Sacatepéquez Department,155
San Marcos Department,689
Santa Rosa Department,106
Sololá Department,120
Suchitepéquez Department,138
Totonicapán Department,≤100
Unknown,≤100
Zacapa Department,113
