Page ID,Page name,Disclaimer,Amount spent (NOK),Number of ads in Library
234659001772,Arbeiderpartiet,Arbeiderpartiet,4250,1
10953652930,Høyre,Høyre,4203,46
371106536283235,DAG OG TID,Dag og Tid AS,2861,5
111345183340,Fagforbundet,Fagforbundet,2652,3
21603349508,NOAH - for dyrs rettigheter,NOAH - for dyrs rettigheter,2444,2
135843375926,UNICEF Norge,UNICEF Norge,2404,14
106525135779095,Forebygging som fungerer,Tryggere Ruspolitikk,1938,15
239677012734267,Fredrikstad Høyre,Fredrikstad Høyre,1711,3
102264419459588,Akershus Høyre,Akershus Høyre,1620,4
798750773559841,Bufdir,"Barne-, ungdoms-, og familiedirektoratet",1333,4
46818767155,Miljøpartiet De Grønne - MDG,Miljøpartiet De Grønne,1274,17
623596214494727,Anima - Stopp dyremishandling,Anima - stopp dyremishandling,1209,4
298357179829,Trondheim Arbeiderparti,Trondheim Arbeiderparti,1192,7
157929987567626,Oslo MDG,OSLO MILJØPARTIET DE GRØNNE,1007,16
44960467949,Greenpeace Norge,Föreningen Greenpeace Norden,961,16
227688410297,Radio Latin-Amerika,Radio Latin-Amerika,816,4
2398568533531114,Velferdsmiks,NHO Geneo,796,20
536745556722065,Lillestrøm FrP,Lillestrøm FrP,760,4
144754334087,Trøndelag Arbeiderparti,Trøndelag Arbeiderparti,737,8
109668258634924,Fylkesordførerkandidat Per Olav Skurdal Hopsø,Trøndelag Arbeiderparti,720,9
58473863651,Amnesty International Norway,Amnesty International Norge,644,2
2869351156469363,Tonje Lavik - FrP,Asker FrP,592,2
132368899297,Framtiden i våre hender,Framtiden i våre hender,589,4
796536693738193,LO Innlandet,LO,573,4
102203325950193,Ingvild Lemme Kristiansen,Stendi,489,9
171619972854769,Oslo Arbeiderparti,Oslo Arbeiderparti,482,6
100722841311675,"Kristiansand Pensjonistparti - Barn, Familie og Pensjonist",Kristiansand Pensjonistparti,464,8
153710294662597,Human-Etisk Forbund,Human-Etisk Forbund,449,3
131631106897687,Øygarden FrP,Øygarden FrP,437,14
1016410645059664,Mathias Bernander,Kristiansand Høyre,436,1
20468812735,LO,LO,432,7
11526489541,Senterpartiet,Senterpartiet,419,1
117756891616696,Moss FrP,Moss FrP,375,1
103057921635136,Folkets Parti Bergen,Foreningen FNB Bergen,346,4
102040431616976,Beaufort Solutions,Beaufort Solutions,339,15
157803497575876,NHO Reiseliv,NHO Reiseliv,304,3
387075338568282,Pressure,Pressure,293,2
417968848252894,Besteforeldrenes klimaaksjon,Besteforeldrenes Klimaaksjon,291,4
171368929594037,Vestland Høgre,Vestland Høgre,274,1
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,265,2
75381641215,Raymond Johansen,Oslo Arbeiderparti,253,2
120374971332864,Kagge Forlag,Kagge Forlag,236,2
