Location name,Amount spent (PLN)
Greater Poland Voivodeship,8618
Kuyavian-Pomeranian Voivodeship,4667
Lesser Poland Voivodeship,7989
Lower Silesian Voivodeship,7425
Lublin Voivodeship,3897
Lubusz Voivodeship,2556
Masovian Voivodeship,15944
Opole Voivodeship,1841
Podkarpackie Voivodeship,3972
Podlaskie Voivodeship,2423
Pomeranian Voivodeship,5705
Silesian Voivodeship,9577
Unknown,≤100
Warmian-Masurian Voivodeship,3227
West Pomeranian Voivodeship,4103
Łódź Voivodeship,5889
Świętokrzyskie Voivodeship,2329
