Location name,Amount spent (ISK)
Capital Region,55240
Eastern Region,2591
Northeastern Region,6402
Northwestern Region,1321
Southern Peninsula,5705
Southern Region,6337
Unknown,≤100
Western Region,1366
Westfjords,1528
