Page ID,Page name,Disclaimer,Amount spent (QAR),Number of ads in Library
101907775761859,الشرق رياضة,These ads ran without a disclaimer,≤100,1
101171249524810,extra.q974,These ads ran without a disclaimer,≤100,1
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,3
102130299317180,Easy Scanner-G,These ads ran without a disclaimer,≤100,1
100466846248633,AI Mage,These ads ran without a disclaimer,≤100,3
105494315161744,talkdiplomacy,These ads ran without a disclaimer,≤100,1
204915812876645,CEIBS,These ads ran without a disclaimer,≤100,1
109726741948943,Vpn-p-44,These ads ran without a disclaimer,≤100,1
101313852689002,أوكرانيا.ua,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
574493653232980,Narayan Patel MLA,These ads ran without a disclaimer,≤100,1
473477439675375,THE WAY Back To Eden,These ads ran without a disclaimer,≤100,1
