Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,680
Bicol Region,11128
Cagayan Valley,2229
Calabarzon,15260
Caraga,1369
Central Luzon,8862
Central Visayas,10216
Cordillera Administrative Region,1366
Davao Region,3636
Eastern Visayas,2687
Ilocos Region,3593
Metro Manila,29681
Mimaropa,1738
Northern Mindanao,4844
Soccsksargen,2610
Unknown,≤100
Western Visayas,7103
Zamboanga Peninsula,2458
