Location name,Amount spent (SEK)
Blekinge County,5641
Dalarna County,10892
Gotland County,2611
Gävleborg County,12543
Halland County,10997
Jämtland County,5542
Jönköping County,12414
Kalmar County,8399
Kronoberg County,6905
Norrbotten County,10419
Skåne County,49638
Stockholm County,87757
Södermanland County,10589
Unknown,≤100
Uppsala County,17596
Värmland County,9976
Västerbotten County,10733
Västernorrland County,9884
Västmanland County,10074
Västra Götaland County,61529
Örebro County,11279
Östergötland County,15629
