Location name,Amount spent (MXN)
Aguascalientes,7301
Baja California,19914
Baja California Sur,3813
Campeche,9219
Chiapas,12813
Chihuahua,22032
Coahuila de Zaragoza,43342
Colima,8323
Distrito Federal,102884
Durango,5934
Guanajuato,37224
Guerrero,8528
Hidalgo,12520
Jalisco,112135
Michoacán de Ocampo,18465
Morelos,12622
Nayarit,4495
Nuevo León,122355
Oaxaca,11855
Puebla,21509
Querétaro Arteaga,18828
Quintana Roo,14080
San Luis Potosi,19443
Sinaloa,14530
Sonora,29312
State of Mexico,66165
Tabasco,17919
Tamaulipas,26787
Tlaxcala,4055
Unknown,≤100
Veracruz,25009
Yucatán,28531
Zacatecas,4801
