Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,209
Apurímac Region,≤100
Arequipa Region,301
Ayacucho Region,108
Cajamarca Region,190
Callao,≤100
Cusco Region,242
Huancavelica Region,≤100
Huánuco Region,108
Ica Region,211
Junín Region,286
La Libertad Region,322
Lambayeque Region,239
Lima Region,1854
Loreto Region,243
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,307
Puno Region,222
San Martín Region,205
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,147
Unknown,≤100
