Page ID,Page name,Disclaimer,Amount spent (ISK),Number of ads in Library
430089884101936,Þingflokkur Pírata,Þingflokkur Pírata,9628,5
607573825973006,LÍS - Landssamtök íslenskra stúdenta,Landssamtök Íslenskra Stúdenta,6921,44
573559522797177,Flokkur fólksins,Flokkur Fólksins,6606,2
152804904889,Samfylkingin,Samfylkingin,5786,3
737169626371453,Heimildin,Stundin,2604,1
128854307193614,Landsvirkjun,Landsvirkjun,2008,1
429577173821764,Matvælaráðuneytið,matvælaráðuneytið,1831,6
154893001218870,ADHD samtökin,ADHD samtökin,1379,4
200480966638039,Supremacy 1914,These ads ran without a disclaimer,937,2
106979180938014,Samstöðin,Samstöðin ehf,899,1
332179950192248,Félag atvinnurekenda,Félag atvinnurekenda,675,1
137524753533383,Miðflokkurinn,Miðflokkurinn,283,1
626846780726124,Viðreisn,Viðreisn,237,1
891586070909976,Endangered Species Foundation of New Zealand,These ads ran without a disclaimer,≤100,1
110210588494125,GCG International Law firm,These ads ran without a disclaimer,≤100,1
154923374536050,LKAB,These ads ran without a disclaimer,≤100,1
188890111132385,Oxford Academic (Oxford University Press),These ads ran without a disclaimer,≤100,2
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
108240971635234,Bettermanly - Magazine,These ads ran without a disclaimer,≤100,1
427787940590188,Радио Китай,These ads ran without a disclaimer,≤100,1
