Location name,Amount spent (INR)
Andaman and Nicobar Islands,268
Andhra Pradesh,43074
Arunachal Pradesh,2143
Assam,32953
Bihar,164036
Chandigarh,1867
Chhattisgarh,26509
Dadra and Nagar Haveli,1620
Delhi,46373
Goa,1877
Gujarat,63519
Haryana,48084
Himachal Pradesh,20275
Jammu and Kashmir,14231
Jharkhand,26858
Karnataka,87879
Kerala,27981
Lakshadweep,≤100
Madhya Pradesh,68393
Maharashtra,183683
Manipur,3011
Meghalaya,72241
Mizoram,1174
Nagaland,1543
Odisha,19606
Puducherry,1631
Punjab region,57256
Rajasthan,200458
Sikkim,1217
Tamil Nadu,66648
Telangana,28069
Tripura,8732
Unknown,≤100
Uttar Pradesh,152340
Uttarakhand,16111
West Bengal,70786
